id,franchise_id,franchise_name,restaurant_franchise_id,country,city,lat,lng,geohash
85899345940,21,The Lazy Daisy,18952,US,Bowling Green,41.375,-83.619,dpke
223338299420,29,The Olive Branch,36937,US,Washington,45.427,9.072,u0n6
171798691889,50,The Pancake House,65939,FR,Paris,48.882,2.336,u09w
103079215121,18,The Harvest Room,4340,US,Mount Airy,36.481,-80.602,dnqx
154618822678,23,The Hungry Pig,41484,ES,Barcelona,41.383,2.17,sp3e
8589934624,33,The Blue Elephant,12630,US,Burnsville,44.769,-93.291,9zvw
206158430283,76,Happy Hour Cafe,53370,GB,London,51.499,-0.192,gcpu
111669149738,43,The Food House,84488,FR,Paris,48.849,2.296,u09t
231928234004,21,The Lazy Daisy,33573,ES,Barcelona,41.405,2.212,sp3e
34359738379,12,The Wooden Spoon,50333,US,Crystal Bay,39.225,-120.006,9qfx
171798691904,65,Chef's Corner,65939,GB,London,51.54,-0.146,gcpv
214748364867,68,Delish Cafe,92040,GB,London,51.496,-0.169,gcpu
223338299411,20,The Brasserie,36937,ES,Barcelona,41.386,2.129,sp3e
60129542164,21,The Lazy Daisy,71555,US,Towson,39.407,-76.601,dr18
257698037767,8,The Green Olive,26468,US,Douglasville,33.751,-84.716,dn5b
94489280561,50,The Pancake House,95399,FR,Paris,48.881,2.299,u09w
163208757322,75,Greenhouse Cafe,96638,NL,Amsterdam,52.369,4.887,u173
214748364851,52,The Red Door,92040,FR,Paris,48.854,2.336,u09t
163208757270,23,The Hungry Pig,96638,US,Bellefonte,40.883,-77.78,dr28
17179869194,11,The Flaming Wok,10902,US,Hot Springs National Park,34.498,-93.057,9yju
197568495662,47,The Juicy Burger,24784,AT,Vienna,48.202,16.371,u2ed
154618822656,1,Savoria,41484,US,Key West,24.547,-81.794,dhmg
137438953514,43,The Food House,11038,FR,Paris,48.855,2.369,u09t
85899345939,20,The Brasserie,18952,US,Wapello,41.175,-91.19,9zr4
103079215144,41,The Daily Bread,4340,US,Random Lake,43.559,-87.94,dp9r
51539607589,38,Cafe Viva,6934,AT,Vienna,48.191,16.408,u2ed
120259084312,25,The Cozy Cafe,59829,US,Douglas,42.678,-105.333,9xt4
85899345947,28,The Spicy Pickle,18952,US,Coralville,41.701,-91.607,9zqv
240518168617,42,The Daily Scoop,93164,US,Worthington,43.629,-95.581,9zu0
128849018925,46,The Italian Table,5679,FR,Paris,48.83,2.353,u09t
128849018924,45,The Green Bean,5679,AT,Vienna,48.198,16.367,u2ed
197568495618,3,Spice Bazaar,24784,US,Englewood,26.935,-82.319,dhv3
8589934646,55,The Steak House,12630,GB,London,51.424,-0.229,gcpu
25769803834,59,Azalea Cafe,72230,FR,Paris,48.88,2.334,u09w
257698037787,28,The Spicy Pickle,26468,US,Interior,43.738,-101.965,9xz2
257698037770,11,The Flaming Wok,26468,US,Memphis,35.036,-89.799,dn0p
